sample_id,source_file,true_label,transcript,risk_score,category,traffic_light,predicted_label,correct,whisper_latency_s,llm_latency_s,total_latency_s,matched_patterns,pattern_count,strong_hits,medium_hits,error
sample_001,,scam,"caller: Hello, is this John? receiver: Yes, it is. Who's calling? caller: My name is Officer Johnson from the Social Security Administration. How are you today? receiver: I'm fine, thank you. What can I do for you? caller: We've been trying to reach you about a very important matter. Your social security number has been compromised and we need to take immediate action to protect your identity. receiver: Oh no, what happened? caller: We've received reports of suspicious activity on your account a",10.0,Impersonation,RED,scam,True,0.0,0.00011134147644042969,0.00011134147644042969,your social security number has been | social security number | been compromised | verify some information | social security administration | suspicious activity | confirm your | your identity,8,your social security number has been | social security number | been compromised | verify some information,social security administration | suspicious activity | confirm your | your identity,
sample_002,,scam,"caller: Hello, is this John? receiver: Yeah, that's me. Who's calling? caller: My name is Officer Johnson from the Social Security Administration. We've had some suspicious activity on your account. receiver: Oh? What kind of activity? caller: We've had reports of someone trying to steal your social security number. I need to verify some information to ensure your account is secure. receiver: That sounds serious. Can you tell me more about these reports? caller: Yes, of course. But first, I need",10.0,Impersonation,RED,scam,True,0.0,0.00010824203491210938,0.00010824203491210938,social security number | verify some information | social security administration | irs | suspicious activity | confirm your,6,social security number | verify some information,social security administration | irs | suspicious activity | confirm your,
sample_003,,scam,"caller: Hello, is this Mr. Johnson? receiver: Yeah, that's me. Who's this? caller: My name is Officer James from the Social Security Administration. We've had some suspicious activity on your account. receiver: Oh? What kind of activity? caller: Someone has been using your social security number to open up fraudulent accounts. We need to verify some information to secure your account. receiver: I see. Can you tell me more about these accounts? What kind of accounts were they? caller: Ah, well, l",10.0,Impersonation,RED,scam,True,0.0,0.00010275840759277344,0.00010275840759277344,social security number | verify some information | secure your account | social security administration | suspicious activity | confirm your,6,social security number | verify some information | secure your account,social security administration | suspicious activity | confirm your,
sample_004,,scam,"caller: Hello, is this John? receiver: Yeah, that's me. Who's calling? caller: My name is Officer Johnson from the Social Security Administration. receiver: What can I do for you, Officer Johnson? caller: We've been trying to reach you about a problem with your social security number. receiver: What kind of problem? caller: It's been suspended due to suspicious activity. receiver: Suspended? That sounds serious. Can you tell me more about it? caller: Yes, sir. It appears someone has been using y",10.0,Impersonation,RED,scam,True,0.0,0.00010538101196289062,0.00010538101196289062,social security number | been compromised | problem with your social | social security administration | irs | suspicious activity,6,social security number | been compromised | problem with your social,social security administration | irs | suspicious activity,
sample_005,,scam,"caller: Hello, this is Officer Johnson from the Social Security Administration. We've been trying to reach you about a serious issue with your social security number. receiver: Oh, really? What's going on? caller: It appears that your social security number has been compromised and we need to take immediate action to protect your identity. receiver: That sounds serious. Can you tell me more about what happened? caller: Yes, of course. Our system shows that your social security number was used in",10.0,Impersonation,RED,scam,True,0.0,0.00010538101196289062,0.00010538101196289062,your social security number has been | social security number | been compromised | verify some information | social security administration | confirm your | your identity,7,your social security number has been | social security number | been compromised | verify some information,social security administration | confirm your | your identity,
sample_006,,scam,"caller: Hello, this is Officer Johnson from the Social Security Administration. We've been trying to reach you about a serious issue with your social security number.  receiver: Oh, really? What's going on with it?  caller: Well, we've received reports of suspicious activity and we need to verify some information to ensure your account is secure.  receiver: That sounds serious. What kind of suspicious activity?  caller: I'm not at liberty to disclose that information over the phone. But I can as",10.0,Impersonation,RED,scam,True,0.0,9.989738464355469e-05,9.989738464355469e-05,social security number | verify some information | social security administration | suspicious activity | confirm your,5,social security number | verify some information,social security administration | suspicious activity | confirm your,
sample_007,,scam,"caller: Hello, this is Officer Johnson from the Social Security Administration. We've been trying to reach you about a serious issue with your social security number.  receiver: Oh, really? What's going on?  caller: Your social security number has been compromised and we need to take immediate action to protect your identity.  receiver: That sounds serious. Can you tell me more about what happened?  caller: Yes, of course. Our system detected suspicious activity linked to your social security nu",10.0,Impersonation,RED,scam,True,0.0,0.00010395050048828125,0.00010395050048828125,your social security number has been | social security number | been compromised | verify some information | social security administration | suspicious activity | confirm your | your identity,8,your social security number has been | social security number | been compromised | verify some information,social security administration | suspicious activity | confirm your | your identity,
sample_008,,scam,"caller: Hello, my name is Officer Johnson from the Social Security Administration. We've been trying to reach you about a serious issue with your social security number. receiver: Oh, really? What's going on with it? caller: It's been suspended due to suspicious activity. I need to verify some information to reactivate it. receiver: Suspended? That sounds serious. Can you tell me more about this suspicious activity? caller: I'm not at liberty to disclose that information over the phone. But I ca",10.0,Impersonation,RED,scam,True,0.0,0.0001049041748046875,0.0001049041748046875,social security number | verify some information | social security administration | suspicious activity | confirm your,5,social security number | verify some information,social security administration | suspicious activity | confirm your,
sample_009,,scam,"caller: Hello, my name is Officer Johnson from the Social Security Administration. We've been trying to reach you about a problem with your social security number. receiver: Oh really? What kind of problem? caller: It's been suspended due to suspicious activity. I need to verify some information to reactivate it. receiver: Suspended? That sounds serious. Can you tell me more about this suspicious activity? caller: I'm not at liberty to disclose that information over the phone. But I need you to ",10.0,Impersonation,RED,scam,True,0.0,0.00010514259338378906,0.00010514259338378906,social security number | verify some information | problem with your social | social security administration | suspicious activity | verify your | confirm your | your identity,8,social security number | verify some information | problem with your social,social security administration | suspicious activity | verify your | confirm your | your identity,
sample_010,,scam,"caller: Hello, this is Officer Johnson from the Social Security Administration. We've been trying to reach you about a problem with your social security number.  receiver: Oh, really? What seems to be the issue?  caller: It's been flagged for suspicious activity and we need to verify some information to clear it up. Can you please confirm your social security number for me?  receiver: I'm not sure I'm comfortable giving that out over the phone. How do I know you're really from the SSA?  caller: ",10.0,Impersonation,RED,scam,True,0.0,0.0001010894775390625,0.0001010894775390625,social security number | verify some information | problem with your social | social security administration | suspicious activity | confirm your | your identity,7,social security number | verify some information | problem with your social,social security administration | suspicious activity | confirm your | your identity,
sample_011,,scam,"caller: Hello, is this Mr. Johnson? receiver: Yes, it is. Who's calling? caller: My name is Officer Thompson from the Social Security Administration. We've been trying to reach you about a very urgent matter. receiver: What's going on? Is everything okay with my social security? caller: I'm afraid there's been some suspicious activity associated with your social security number. We need to verify some information to clear up this issue. receiver: Suspicious activity? What kind of activity? calle",10.0,Impersonation,RED,scam,True,0.0,0.00010180473327636719,0.00010180473327636719,social security number | verify some information | social security administration | suspicious activity | confirm your | your identity,6,social security number | verify some information,social security administration | suspicious activity | confirm your | your identity,
sample_012,,scam,"caller: Hello, this is Officer Johnson from the Social Security Administration. We've been trying to reach you about a very serious matter regarding your social security number.  receiver: Oh, I'm so worried! What's going on with my social security number?  caller: Well, we've received reports that it's been compromised and someone is using it for fraudulent activities. We need to verify some information to ensure your identity and secure your account.  receiver: That sounds scary! What kind of ",10.0,Urgency,RED,scam,True,0.0,9.584426879882812e-05,9.584426879882812e-05,call us back | fraudulent activities | social security number | been compromised | verify some information | secure your account | social security administration | your identity,8,call us back | fraudulent activities | social security number | been compromised | verify some information | secure your account,social security administration | your identity,
sample_013,,scam,"caller: Hello, is this John Smith? receiver: Yes, it is. Who's calling? caller: My name is Officer Johnson from the Social Security Administration. We've had a report of suspicious activity on your social security number. receiver: Oh? What kind of activity? caller: It appears that your number has been compromised and is being used for fraudulent purposes. I need to verify some information to ensure your identity and secure your account. receiver: Okay, what do you need to know? caller: Can you ",10.0,Impersonation,RED,scam,True,0.0,0.00012922286987304688,0.00012922286987304688,social security number | been compromised | verify some information | secure your account | social security administration | suspicious activity | confirm your | your identity,8,social security number | been compromised | verify some information | secure your account,social security administration | suspicious activity | confirm your | your identity,
sample_014,,scam,"caller: Hello, my name is Officer Johnson from the Social Security Administration. We've been trying to reach you about a problem with your social security number. receiver: Oh, really? What kind of problem? caller: Well, it's been flagged for suspicious activity and we need to verify some information to ensure your benefits aren't suspended. receiver: Suspended? I don't receive any benefits. Can you tell me more about this suspicious activity? caller: I'm not at liberty to disclose that informa",10.0,Impersonation,RED,scam,True,0.0,0.00010395050048828125,0.00010395050048828125,social security number | verify some information | problem with your social | social security administration | suspicious activity | confirm your,6,social security number | verify some information | problem with your social,social security administration | suspicious activity | confirm your,
sample_015,,scam,"caller: Hello, this is Officer Johnson from the Social Security Administration. We've had a report of suspicious activity on your social security number. receiver: Oh no, what kind of activity? caller: It appears that someone has been using your number to commit fraud. I need to verify some information to ensure your account is secure. receiver: That sounds serious. What information do you need to verify? caller: Can you please provide me with your social security number so I can look into this ",10.0,Impersonation,RED,scam,True,0.0,0.00010442733764648438,0.00010442733764648438,social security number | verify some information | social security administration | suspicious activity,4,social security number | verify some information,social security administration | suspicious activity,
sample_016,,scam,"caller: Hello, is this John? receiver: Yeah, that's me. Who's this? caller: My name is Officer Johnson from the Social Security Administration. receiver: Oh, what can I do for you, Officer Johnson? caller: We've been trying to reach you about a problem with your social security number. It's been compromised and we need to verify some information to secure your account. receiver: Compromised? What do you mean? How did it happen? caller: We're not entirely sure, but we suspect it was part of a lar",10.0,Impersonation,RED,scam,True,0.0,0.0001220703125,0.0001220703125,social security number | been compromised | verify some information | secure your account | problem with your social | social security administration | confirm your,7,social security number | been compromised | verify some information | secure your account | problem with your social,social security administration | confirm your,
sample_017,,scam,"caller: Hello, this is Officer Johnson from the Social Security Administration. We've been trying to reach you about a problem with your social security number. receiver: Oh, really? What kind of problem? caller: There's been some suspicious activity on your account and we need to verify some information to ensure your benefits aren't suspended. receiver: Suspicious activity? That sounds serious. Can you tell me more about what's going on? caller: I'd be happy to explain, but first I need to con",10.0,Impersonation,RED,scam,True,0.0,0.00010585784912109375,0.00010585784912109375,social security number | verify some information | problem with your social | social security administration | irs | suspicious activity | confirm your | your identity,8,social security number | verify some information | problem with your social,social security administration | irs | suspicious activity | confirm your | your identity,
sample_018,,scam,"caller: Hello, my name is Officer Johnson from the Social Security Administration. We've received a report that your social security number has been compromised and is being used for fraudulent activities.  receiver: Oh no, that sounds serious. Can you tell me more about what's going on?  caller: Yes, of course. Our system shows that your social security number has been linked to several illegal transactions. I need to verify some information to put a hold on your account.  receiver: Okay, what ",10.0,Impersonation,RED,scam,True,0.0,0.00010061264038085938,0.00010061264038085938,your social security number has been | fraudulent activities | social security number | been compromised | verify some information | social security administration | confirm your | your identity,8,your social security number has been | fraudulent activities | social security number | been compromised | verify some information,social security administration | confirm your | your identity,
sample_019,,scam,"caller: Hello, is this John? receiver: Yeah, that's me. Who's calling? caller: My name is Officer Johnson from the Social Security Administration. We've been trying to reach you about a problem with your social security number. receiver: What kind of problem? I haven't done anything wrong, have I? caller: No, no, nothing like that. It's just that we've had some suspicious activity on your account and we need to verify some information to clear it up. receiver: Suspicious activity? Like what? Som",10.0,Impersonation,RED,scam,True,0.0,0.00011849403381347656,0.00011849403381347656,social security number | verify some information | problem with your social | social security administration | suspicious activity | confirm your,6,social security number | verify some information | problem with your social,social security administration | suspicious activity | confirm your,
sample_020,,scam,"caller: Hello, is this Mr. Johnson? receiver: Yeah, that's me. Who's calling? caller: My name is Officer James from the Social Security Administration. We've been trying to reach you about a serious issue with your social security number. receiver: What kind of issue? caller: It's been suspended due to suspicious activity. I need to verify some information to reactivate it. receiver: Suspended? I didn't receive any notification. Can you tell me more about the suspicious activity? caller: I'm not",10.0,Impersonation,RED,scam,True,0.0,0.0001049041748046875,0.0001049041748046875,social security number | verify some information | social security administration | suspicious activity | confirm your,5,social security number | verify some information,social security administration | suspicious activity | confirm your,
sample_021,,scam,"caller: Hello, is this John? receiver: Yeah, that's me. Who's this? caller: My name is Officer Johnson from the Social Security Administration. We've been trying to reach you about a serious issue with your social security number. receiver: What kind of issue? caller: It appears your social security number has been compromised and we need to verify some information to resolve the matter. receiver: Compromised? How did that happen? caller: I'm not at liberty to disclose that information right now",10.0,Impersonation,RED,scam,True,0.0,0.00010323524475097656,0.00010323524475097656,your social security number has been | social security number | been compromised | verify some information | social security administration | verify your | confirm your | your identity,8,your social security number has been | social security number | been compromised | verify some information,social security administration | verify your | confirm your | your identity,
sample_022,,scam,"caller: Hello, is this Mr. Johnson? receiver: Yes, that's me. Who's calling? caller: My name is Officer Thompson from the Social Security Administration. receiver: Oh, what can I do for you, Officer Thompson? caller: We've been trying to reach you about a serious issue with your social security number. It's been suspended due to suspicious activity. receiver: Suspended? What kind of suspicious activity? caller: I'm not at liberty to disclose that information over the phone, sir. But I need to ve",10.0,Impersonation,RED,scam,True,0.0,0.00010466575622558594,0.00010466575622558594,social security number | verify some information | social security administration | suspicious activity,4,social security number | verify some information,social security administration | suspicious activity,
sample_023,,scam,"caller: Hello, my name is Officer Johnson from the Social Security Administration. We've been trying to reach you about a serious issue with your social security number. receiver: Oh, really? What's going on? caller: Your social security number has been compromised and we need to take immediate action to secure your account. receiver: That sounds serious. Can you tell me more about what happened? caller: Yes, of course. We've received reports of suspicious activity on your account and we need to",10.0,Impersonation,RED,scam,True,0.0,0.00010037422180175781,0.00010037422180175781,your social security number has been | social security number | been compromised | verify some information | secure your account | social security administration | suspicious activity | confirm your | your identity,9,your social security number has been | social security number | been compromised | verify some information | secure your account,social security administration | suspicious activity | confirm your | your identity,
sample_024,,scam,"caller: Hello, this is Officer Johnson from the Social Security Administration. We've been trying to reach you about a suspicious activity on your social security number. receiver: Oh, really? What kind of activity? caller: We've had reports of someone using your number to open fraudulent accounts and steal your identity. I need to verify some information to put a hold on your account. receiver: That sounds serious. Can you tell me more about these accounts? What kind of information do you need ",10.0,Impersonation,RED,scam,True,0.0,0.00010156631469726562,0.00010156631469726562,social security number | verify some information | social security administration | suspicious activity | confirm your | your identity,6,social security number | verify some information,social security administration | suspicious activity | confirm your | your identity,
sample_025,,scam,"caller: Hello, my name is Officer Johnson from the Social Security Administration. We've been trying to reach you about a serious issue with your social security number.  receiver: Oh, really? What kind of issue?  caller: It's been flagged for suspicious activity and we need to verify some information to resolve the matter.  receiver: I'm not sure I understand. Can you tell me more about what's going on?  caller: Well, it appears that someone has been using your social security number to open fr",10.0,Impersonation,RED,scam,True,0.0,0.00010418891906738281,0.00010418891906738281,social security number | verify some information | social security administration | suspicious activity | confirm your | your identity,6,social security number | verify some information,social security administration | suspicious activity | confirm your | your identity,
sample_026,,scam,"caller: Hello, my name is Officer Johnson from the Social Security Administration. We've been trying to reach you about a problem with your social security number. receiver: Oh, really? What kind of problem? caller: It's been suspended due to suspicious activity. I need to verify some information to reactivate it. receiver: Suspended? That sounds serious. Can you tell me more about the suspicious activity? caller: I'm not at liberty to disclose that information over the phone. But I need you to ",10.0,Impersonation,RED,scam,True,0.0,0.0001068115234375,0.0001068115234375,social security number | verify some information | problem with your social | social security administration | suspicious activity | verify your | confirm your | your identity,8,social security number | verify some information | problem with your social,social security administration | suspicious activity | verify your | confirm your | your identity,
sample_027,,scam,"caller: Hello, is this Mr. Johnson? receiver: Yes, that's me. Who's calling? caller: My name is Officer David from the Social Security Administration. receiver: What can I do for you, Officer David? caller: We've had some suspicious activity on your social security number and we need to verify some information to ensure your account is secure. receiver: What kind of suspicious activity? caller: It appears someone has been using your number to open fraudulent accounts. We need to freeze your acco",10.0,Impersonation,RED,scam,True,0.0,0.00010275840759277344,0.00010275840759277344,social security number | verify some information | immediately | social security administration | unusual activity | suspicious activity | confirm your,7,social security number | verify some information,immediately | social security administration | unusual activity | suspicious activity | confirm your,
sample_028,,scam,"caller: Hello, this is Officer Johnson from the Social Security Administration. We've been trying to reach you about a problem with your social security number. receiver: Oh, really? What kind of problem? caller: It's been flagged for suspicious activity and we need to verify some information to ensure your benefits aren't suspended. receiver: Suspended? That sounds serious. Can you tell me more about what's going on? caller: I'm not at liberty to disclose that information over the phone, but I ",10.0,Impersonation,RED,scam,True,0.0,0.00010037422180175781,0.00010037422180175781,social security number | verify some information | problem with your social | social security administration | suspicious activity | confirm your,6,social security number | verify some information | problem with your social,social security administration | suspicious activity | confirm your,
sample_029,,scam,"caller: Hello, is this John? receiver: Yeah, that's me. Who's calling? caller: This is Officer James from the Social Security Administration. We've had some suspicious activity on your account and I need to verify some information. receiver: What kind of suspicious activity? caller: It appears someone has been using your social security number to open fraudulent accounts. Can you confirm your social security number for me? receiver: How did you get my number? Is this a real call or is it one of ",10.0,Impersonation,RED,scam,True,0.0,9.799003601074219e-05,9.799003601074219e-05,social security number | verify some information | social security administration | suspicious activity | confirm your | your identity,6,social security number | verify some information,social security administration | suspicious activity | confirm your | your identity,
sample_030,,scam,"caller: Hello, is this Mr. Johnson? receiver: Yeah, that's me. Who's this? caller: My name is Officer Thompson from the Social Security Administration. We've had some suspicious activity on your account and I need to verify some information. receiver: What kind of suspicious activity? caller: It appears someone has been using your social security number to open credit accounts and make fraudulent purchases. We need to secure your account immediately. receiver: That sounds serious. How did you ge",10.0,Impersonation,RED,scam,True,0.0,0.00013017654418945312,0.00013017654418945312,social security number | verify some information | secure your account | immediately | social security administration | suspicious activity | confirm your,7,social security number | verify some information | secure your account,immediately | social security administration | suspicious activity | confirm your,
sample_031,,scam,"caller: Hello, this is Officer Johnson from the Social Security Administration. We've been trying to reach you about a suspicious activity on your social security number. receiver: Oh, really? What kind of activity? caller: It appears that someone has been using your social security number to commit fraud. We need to verify some information to ensure your account is secure. receiver: That sounds serious. Can you tell me more about what's going on? caller: Yes, of course. But first, I need to con",10.0,Impersonation,RED,scam,True,0.0,0.00012135505676269531,0.00012135505676269531,social security number | verify some information | social security administration | irs | suspicious activity | confirm your | your identity,7,social security number | verify some information,social security administration | irs | suspicious activity | confirm your | your identity,
sample_032,,scam,"caller: Hello, is this Mr. Johnson?  receiver: Yeah, that's me. Who's calling?  caller: My name is Officer James from the Social Security Administration. We've had some suspicious activity on your social security number and I need to verify some information with you.  receiver: Oh no, what kind of activity?  caller: It appears someone has been using your social security number to commit fraud. I need you to confirm your number so we can proceed with the investigation.  receiver: I'm not comforta",10.0,Impersonation,RED,scam,True,0.0,0.00010633468627929688,0.00010633468627929688,social security number | verify some information | social security administration | suspicious activity | confirm your,5,social security number | verify some information,social security administration | suspicious activity | confirm your,
sample_033,,scam,"caller: Hello, is this John Smith? receiver: Yes, it is. Who's calling? caller: My name is Officer James from the Social Security Administration. We've had some suspicious activity on your account. receiver: Oh no, what kind of activity? caller: It appears someone has been using your social security number to commit fraud. We need to verify some information to ensure your account is secure. receiver: That sounds serious. What information do you need to verify? caller: Can you please provide me w",10.0,Impersonation,RED,scam,True,0.0,0.00010395050048828125,0.00010395050048828125,social security number | verify some information | social security administration | suspicious activity | verify your | your identity,6,social security number | verify some information,social security administration | suspicious activity | verify your | your identity,
sample_034,,scam,"caller: Hello, my name is Officer Johnson from the Social Security Administration. We've been trying to reach you about a serious issue with your social security number. receiver: Oh, really? What's going on? caller: Well, our system has flagged your number as being involved in some suspicious activity. We need to verify some information to clear up the issue. receiver: Suspicious activity? Like what kind of activity? caller: I'm not at liberty to disclose that information over the phone, but I ",10.0,Impersonation,RED,scam,True,0.0,0.00010585784912109375,0.00010585784912109375,social security number | verify some information | social security administration | suspicious activity | confirm your,5,social security number | verify some information,social security administration | suspicious activity | confirm your,
sample_035,,scam,"caller: Hello, this is Officer Johnson from the Social Security Administration. We've been trying to reach you about a problem with your social security number. receiver: Oh, really? What kind of problem? caller: It's been suspended due to suspicious activity. I need to verify some information to reactivate it. receiver: Suspended? That sounds serious. Can you tell me more about what's going on? caller: Yes, sir. It appears someone has been using your social security number for fraudulent activi",10.0,Impersonation,RED,scam,True,0.0,0.00010514259338378906,0.00010514259338378906,fraudulent activities | social security number | verify some information | problem with your social | social security administration | suspicious activity | verify your | confirm your | your identity,9,fraudulent activities | social security number | verify some information | problem with your social,social security administration | suspicious activity | verify your | confirm your | your identity,
sample_036,,scam,"caller: Hello, my name is Officer Johnson from the Social Security Administration. We've been trying to reach you about a serious issue with your social security number. receiver: Oh, really? What's going on? caller: We've had reports of suspicious activity on your account, and we need to verify some information to ensure your benefits aren't suspended. receiver: Suspended? That sounds serious. What kind of suspicious activity? caller: I'm not at liberty to disclose that information over the pho",10.0,Impersonation,RED,scam,True,0.0,0.00010156631469726562,0.00010156631469726562,social security number | verify some information | immediately | social security administration | suspicious activity | confirm your,6,social security number | verify some information,immediately | social security administration | suspicious activity | confirm your,
sample_037,,scam,"caller: Hello, my name is Officer Johnson from the Social Security Administration. We've been trying to reach you about a problem with your social security number. receiver: Oh really? What kind of problem? caller: It's been flagged for suspicious activity and we need to verify some information to ensure your benefits aren't suspended. receiver: Suspicious activity? Like what? caller: We can't disclose that information over the phone, but I can assure you it's very serious. Can you please confir",10.0,Impersonation,RED,scam,True,0.0,0.000102996826171875,0.000102996826171875,social security number | verify some information | problem with your social | social security administration | suspicious activity | confirm your,6,social security number | verify some information | problem with your social,social security administration | suspicious activity | confirm your,
sample_038,,scam,"caller: Hello, my name is Officer Johnson from the Social Security Administration. We've received a report that your social security number has been compromised and is being used for fraudulent activities.  receiver: Oh no, that sounds serious. Can you tell me more about what's going on?  caller: Yes, of course. Our system shows that your social security number has been linked to several suspicious transactions. We need to verify your information to ensure your identity and protect your benefits",10.0,Impersonation,RED,scam,True,0.0,0.00010085105895996094,0.00010085105895996094,your social security number has been | fraudulent activities | social security number | been compromised | social security administration | verify your | confirm your | your identity,8,your social security number has been | fraudulent activities | social security number | been compromised,social security administration | verify your | confirm your | your identity,
sample_039,,scam,"caller: Hello, this is Officer Johnson from the Social Security Administration. We've been trying to reach you about a serious issue with your social security number.  receiver: Oh, really? What's going on?  caller: It's been flagged for suspicious activity and we need to verify some information to resolve the issue.  receiver: Suspicious activity? Like what?  caller: We can't disclose that over the phone, but I assure you it's very serious. Can you please confirm your social security number so ",10.0,Impersonation,RED,scam,True,0.0,0.00010180473327636719,0.00010180473327636719,social security number | verify some information | social security administration | suspicious activity | confirm your,5,social security number | verify some information,social security administration | suspicious activity | confirm your,
