sample_id,source_file,true_label,transcript,risk_score,category,traffic_light,predicted_label,correct,whisper_latency_s,llm_latency_s,total_latency_s,matched_patterns,pattern_count,strong_hits,medium_hits,error
sample_001,C:\src\guardian_line\data\scam\audio-wav-16khz_1112259_normalized.txt,scam,"We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order.",2.0,Unknown,GREEN,safe,False,0.0,24.454314708709717,24.454314708709717,,0,,,
sample_002,C:\src\guardian_line\data\scam\audio-wav-16khz_58345_normalized.txt,scam,"to connect with Apple Support Advisor. Press 2 to listen to this message again. Or if you wish to contact us later, please call us on our toll-free number, 315-232-8257. Thank you.",0.0,Safe,GREEN,safe,False,0.0,5.968853235244751,5.968853235244751,,0,,,
sample_003,C:\src\guardian_line\data\scam\audio-wav-16khz_936704_normalized.txt,scam,"Hello. This call is to inform you that a pre-authorized order has been placed on your name. So to authorize the order, or to talk to our representative, please press 1 or stay on the line. Thank you. Goodbye.",2.0,Unknown,GREEN,safe,False,0.0,21.341646909713745,21.341646909713745,,0,,,
sample_004,C:\src\guardian_line\data\scam\audio-wav-16khz_1100696_normalized.txt,scam,"one to start your claim. Otherwise, press 2 to speak with the billing department.",2.0,Unknown,GREEN,safe,False,0.0,20.843176126480103,20.843176126480103,,0,,,
sample_005,C:\src\guardian_line\data\scam\audio-wav-16khz_807777_normalized.txt,scam,"Thank you for choosing Hilton Hotels. We would like to inform you that thanks to the Friends and Family Rewards program, your membership is drawn to receive a complimentary stay. For further details, press 1 now. To be placed on the Do Not Call list, press 2 now.",0.0,Safe,GREEN,safe,False,0.0,6.578948736190796,6.578948736190796,,0,,,
sample_006,C:\src\guardian_line\data\scam\audio-wav-16khz_520125_normalized.txt,scam,"On your excellent payment history, you now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process.",2.0,Unknown,GREEN,safe,False,0.0,19.598660230636597,19.598660230636597,,0,,,
sample_007,C:\src\guardian_line\data\scam\audio-wav-16khz_1638881759.18243_in_Family_Communication_Robocall__Amazon-SuspiciousCharge_normalized.txt,scam,"Hi, this is Daniel from Amazon customer service. We have seen a recent order number, AMZ0987, of iPhone 11 Pro on your account, which is billed on your card attached to your Amazon account. The amount charged in $1499. We noticed some suspicious activity on your account. So we have put in hold to this transaction. Please press 1 now. And to report please press 2. Thank you.",2.0,Unknown,GREEN,safe,False,0.0,23.966829776763916,23.966829776763916,,0,,,
sample_008,C:\src\guardian_line\data\scam\audio-wav-16khz_598182_normalized.txt,scam,"is to inform you that we just suspend your social security number because we found some suspicious activity. So if you want to know about this case, just press 1. Thank you.",7.0,Unknown,RED,scam,True,0.0,22.705039739608765,22.705039739608765,,0,,,
sample_009,C:\src\guardian_line\data\scam\audio-wav-16khz_520014_normalized.txt,scam,"Greetings, this is an automated message from the Disconnection Department of the Marva Power and Light to inform you that you will be experiencing a disconnection of service today within 30 minutes. Please press 1 to speak to a representative. Thank you.",1.0,Safe,GREEN,safe,False,0.0,7.060118198394775,7.060118198394775,,0,,,
sample_010,C:\src\guardian_line\data\scam\audio-wav-16khz_660764_normalized.txt,scam,"Hi, this is Melissa with Student Support Center. I am following up in regards to your outstanding federal student loan balance. We have been trying to reach you because you are eligible for the Federal Student Loan Forgiveness Program due to the changes made in 2022. It's imperative that we speak to you as soon as possible since the student loan payment delay is about to come to an end. You can reach us directly to discuss your options at 833-631-7911. Again, that's 833-631-7911. Thank you.",2.0,Impersonation,GREEN,safe,False,0.0,11.631901264190674,11.631901264190674,Urgency,1,,,
sample_011,C:\src\guardian_line\data\scam\audio-wav-16khz_568965_normalized.txt,scam,"this is Susie calling with the Vehicle Service Department. We are calling about your vehicle's manufacturer's warranty. We sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff and this is a courtesy call to renew your warranty before we close the file. If you are interested in renewing your auto warranty now, please press 5 now or press 9 to be removed from our list. Hi this is Susie calling",1.0,Impersonation,GREEN,safe,False,0.0,10.377066135406494,10.377066135406494,Impersonation,1,,,
sample_012,C:\src\guardian_line\data\scam\audio-wav-16khz_719755_normalized.txt,scam,"The very second you receive this message, you need to leave your work aside so that we can discuss about your case and take necessary action on this matter in order to connect Investigation Officer, Press 1. And you will be connected to the Concerned Department. If we don't hear from you, then we will be forced to take legal action against you.",7.0,Urgency,RED,scam,True,0.0,8.405651092529297,8.405651092529297,Urgency | Impersonation,2,,,
sample_013,C:\src\guardian_line\data\scam\audio-wav-16khz_719750_normalized.txt,scam,"The very second you receive this message, you need to leave your work aside so that we can discuss about your case and take necessary action on this matter in order to connect Investigation Officer, Press 1. And you will be connected to the Concerned Department. If we don't hear from you, then we will be forced to take legal action against you.",7.0,FearTactic,RED,scam,True,0.0,5.7184975147247314,5.7184975147247314,Urgency | FearTactic,2,,,
sample_014,C:\src\guardian_line\data\scam\audio-wav-16khz_1205446_normalized.txt,scam,"please press 1 to speak with the billing department. Otherwise, please press 2 to speak with the disconnections department. Thank you for choosing our services.",0.0,Safe,GREEN,safe,False,0.0,6.709307432174683,6.709307432174683,,0,,,
sample_015,C:\src\guardian_line\data\scam\audio-wav-16khz_241125_normalized.txt,scam,"This message is intended to contact you, regarding a legal enforcement action executed under your social security number for suspicious and fraudulent activities committed in the state of Texas. And we just suspended your social security number. Ignoring this will be an intentional second attempt, to avoid initial appearance before magistrate, judge, or grand jury for a federal criminal offense, this is the final attempt to reach you, so if you want to know about this case just press 1.",10.0,FearTactic,RED,scam,True,0.0,9.781128168106079,9.781128168106079,Impersonation | FearTactic,2,,,
sample_016,C:\src\guardian_line\data\scam\audio-wav-16khz_500510_normalized.txt,scam,We would like to inform you that there is an order placed for Apple iPhone 12 Pro using your Amazon account. If you do not authorize this order then press 1 or press 2 to authorize the order.,2.0,Unknown,GREEN,safe,False,0.0,17.182021379470825,17.182021379470825,,0,,,
sample_017,C:\src\guardian_line\data\scam\audio-wav-16khz_274452_normalized.txt,scam,"Hello, this is Mary Marcello regarding your COVID-19 relief payment, and you can reach me at my state assigned phone number, 855-228-4781, and it's my job to make you aware that because you qualified for a relief payment, you also qualify for the new debt relief program. The primary focus of this program is to provide student loan debt relief by either significantly reducing the amount you owe or eliminating it altogether. This was just passed by the Biden administration, actively known as Biden",7.0,Unknown,RED,scam,True,0.0,22.86928153038025,22.86928153038025,,0,,,
sample_018,C:\src\guardian_line\data\scam\audio-wav-16khz_635443_normalized.txt,scam,"Next from your Amazon account, which will charge you $899. If you did not authorize this order, then press 1 for Amazon support. Thank you.",2.0,Unknown,GREEN,safe,False,0.0,22.925816535949707,22.925816535949707,,0,,,
